index;x;y;z
377;-0.621826;1.449463;0.085449
378;-0.758545;1.661392;0.117584
379;-0.844971;1.741318;0.002258
380;-1.016739;1.677261;0.059586
381;-1.053085;1.416306;0.113174
382;-1.065445;1.162582;0.072571
383;-0.934647;0.920685;0.116425
384;-0.876907;0.755737;0.203293
385;-0.981354;0.767670;0.140793
386;-0.965500;0.858047;0.070602
387;-0.812500;0.912735;0.040436
388;-0.833359;1.327820;0.072021
389;-0.839890;1.747925;-0.007019
390;-1.021484;2.135818;-0.035110
391;-0.769592;1.902527;-0.102020
392;-0.577698;1.590057;0.014786
393;-0.424423;1.365341;0.082428
394;-0.256378;1.050064;0.029739
395;-0.097534;0.816437;0.065475
396;0.058243;0.695282;0.104218
397;0.076859;0.662582;0.051025
398;-0.079208;0.893646;0.126541
399;-0.288315;1.116226;0.086655
400;-0.512756;1.439392;0.056305
401;-0.672791;1.605469;0.079559
402;-0.802536;1.783249;0.125565
403;-0.935196;1.762833;0.118896
404;-1.067963;1.566238;0.160156
405;-1.094406;1.337234;0.093765
406;-1.064224;1.028519;0.051483
407;-0.926880;0.820526;0.197174
408;-0.927933;0.730118;0.127151
409;-0.893417;0.772308;-0.045425
410;-0.876694;0.892807;-0.051193
411;-0.980240;1.252075;-0.031693
412;-0.950806;1.656784;-0.105789
413;-0.936798;1.884369;-0.024460
414;-0.912216;1.924194;0.071793
415;-0.746964;1.845886;0.097595
416;-0.524078;1.649918;0.052292
417;-0.316101;1.230865;0.004883
418;-0.122192;0.916107;0.011261
419;0.090485;0.751709;0.097229
420;0.052353;0.786255;0.078674
421;-0.088257;0.923721;0.040390
422;-0.307373;1.203079;-0.019867
423;-0.480194;1.339783;-0.009903
424;-0.681015;1.505341;0.153900
425;-0.789932;1.534805;0.202591
426;-0.939804;1.661880;0.114105
427;-1.065964;1.619797;0.054382
428;-1.081558;1.402664;0.023071
429;-1.074158;1.068863;0.016724
430;-0.995850;0.877594;0.166122
431;-0.983856;0.860031;0.107880
432;-0.979599;0.857422;-0.002731
433;-0.918732;0.781372;0.050522
434;-0.880478;1.076706;0.127670
435;-0.899323;1.516602;0.045883
436;-0.973145;1.917679;0.003036
437;-0.781738;1.772568;-0.064957
438;-0.582489;1.587326;0.023697
439;-0.407425;1.397659;0.037354
440;-0.306946;1.199493;0.044098
441;-0.201355;0.978775;0.056274
442;0.099213;0.885178;0.076538
443;0.073441;0.891357;0.001999
444;-0.094498;0.974503;-0.025330
445;-0.275772;1.127640;-0.023148
446;-0.397812;1.279114;0.084290
447;-0.602417;1.518158;0.118500
448;-0.664200;1.609177;0.072388
449;-0.876190;1.664734;0.102722
450;-1.026230;1.451828;0.145889
451;-1.026108;1.273087;0.133469
452;-0.978394;1.026245;0.087051
453;-0.840881;0.844559;0.113525
454;-0.838333;0.764847;0.055283
455;-0.912338;0.838913;-0.032272
456;-0.903946;0.839066;-0.032150
457;-0.918808;1.117432;0.118195
458;-0.959457;1.631363;0.059982
459;-0.905289;1.950226;-0.074356
460;-0.799057;1.962341;-0.086304
461;-0.594391;1.783447;-0.018494
462;-0.397202;1.589508;0.031998
463;-0.114105;1.173035;0.010391
464;0.008591;0.863525;0.069107
465;0.159958;0.716919;0.045853
466;0.087143;0.690979;-0.076599
467;-0.139908;0.894516;-0.021713
468;-0.331451;1.116455;-0.019150
469;-0.485931;1.393021;-0.053787
470;-0.662354;1.531158;0.012161
471;-0.866089;1.505859;0.018341
472;-0.831680;1.333771;0.005081
473;-0.842758;1.328949;0.000641
474;-0.846161;1.253403;-0.024597
475;-0.833160;1.077744;0.027695
476;-0.875381;0.918930;0.074875
477;-0.962982;0.880814;0.092529
478;-1.013489;0.937408;0.066910
479;-0.821960;0.818710;0.085968
480;-0.788864;0.989639;0.105621
481;-0.789322;1.297272;-0.034943
482;-0.925079;1.660416;-0.217743
483;-0.925629;1.650635;-0.169357
484;-0.793915;1.517090;-0.055237
485;-0.635773;1.437027;0.072845
486;-0.437592;1.335785;0.023178
487;-0.271225;1.025345;-0.034119
488;-0.004227;0.809525;0.003281
489;0.249329;0.662338;0.009232
490;-0.008270;0.846329;0.020554
491;-0.308960;0.971252;0.082092
492;-0.551926;1.272385;0.126602
493;-0.574646;1.460266;0.056885
494;-0.749176;1.663147;0.015015
495;-0.927597;1.666138;0.021973
496;-1.031891;1.532974;0.204285
497;-1.154999;1.347855;0.098877
498;-1.040344;1.046524;0.045654
499;-0.716080;0.838287;0.153046
500;-0.761444;0.746597;0.093185
501;-0.972610;0.837830;-0.052124
502;-0.981522;0.867599;-0.046555
503;-0.901123;1.010712;0.073547
504;-0.848785;1.376694;0.062180
505;-0.887283;1.742722;-0.039810
506;-0.837616;1.811203;-0.151566
507;-0.662231;1.642288;-0.094437
508;-0.505188;1.493851;-0.004089
509;-0.332474;1.285904;-0.006851
510;-0.109924;0.976196;0.007751
511;-0.007156;0.886444;0.132874
512;0.005142;0.838181;0.073441
513;-0.143600;1.056854;0.082108
514;-0.091370;1.064011;0.094742
515;-0.398941;1.159424;-0.034958
516;-0.582718;1.284225;0.058258
517;-0.668015;1.552307;0.182312
518;-0.725555;1.528778;0.002609
519;-0.914948;1.430573;0.000366
520;-0.980362;1.251221;0.033279
521;-1.015228;1.073181;0.032623
522;-0.813339;0.909012;0.131241
523;-0.783615;0.830811;0.053696
524;-0.938873;0.913193;0.033676
525;-0.990677;0.934479;0.004120
526;-0.863022;0.957382;0.060379
527;-0.736755;1.237366;0.050461
528;-0.804016;1.674194;-0.023117
529;-0.780090;1.773575;-0.047424
530;-0.617233;1.577972;-0.064590
531;-0.514725;1.374969;0.061432
